team,team_fastr,stadium,is_current,stadium_name,lat,lon,altitude,heading,first_game_date,last_game_date,surface_type,roof_type,address,city,state,zipcode,country,tz,tz_offset,wikipedia_url,img_sat_url,img_logo_url,img_shot_url,website,nicknames,owner,operator,capacity,broke_ground,opened,closed,demolished,construction_cost,construction_cost_2023,renovation_years,expansion_years,architects,wins_l16,losses_l16,ties_l16,mov_l16,hfa_l16,wins_l80,losses_l80,ties_l80,mov_l80,hfa_l80,wins_all_time,losses_all_time,ties_all_time,mov_all_time,hfa_all_time
DEN,DEN,DEN99,False,Mile High Stadium,39.7460024,-105.0216427,1588.248748,0,1999-09-13,2000-12-23,Grass,Outdoors,2755 West 17th Avenue,Denver,Colorado,80204,United States,America/Denver,-7,https://en.wikipedia.org/wiki/Mile_High_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/DEN99.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Denver_Mile_High_Stadium_postcard_%28c._1970s-1980s%29.jpg/275px-Denver_Mile_High_Stadium_postcard_%28c._1970s-1980s%29.jpg,,,"City & County of Denver (1968–2001) Rocky Mountain Sports, Inc. ( Denver Bears / Broncos , 1948–1968)",Denver Parks and Recreation,76273.0,1947.0,1948,2001.0,2002.0,,,,"1959, 1968, 1976, 1977, 1986",,6.0,2.0,0.0,11.5,8.316,9.0,7.0,0.0,5.312,3.943,9.0,7.0,0.0,5.312,3.943
DET,DET,DET99,False,Pontiac Silverdome,42.6457766,-83.2549503,271.7969791,313,1999-09-19,2002-01-06,Turf,Dome,1200 Featherstone Road,Pontaic,Michigan,48342,United States,America/Detroit,-5,https://en.wikipedia.org/wiki/Pontiac_Silverdome,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/DET99.png,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Silverdome_logo.png/220px-Silverdome_logo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Silverdome_2.jpg/250px-Silverdome_2.jpg,,,"Andreas Apostolopoulos, Triple Investment Group",Triple Sports & Entertainment,82000.0,1973.0,1975,2006.0,2017.0,55700000.0,382000000.0,,,O'Dell/Hewlett & LuckenbachC. Don Davidson,2.0,6.0,0.0,-7.875,-0.939,12.0,12.0,0.0,-1.583,0.945,12.0,12.0,0.0,-1.583,0.945
IND,IND,IND99,False,RCA Dome,39.7636251,-86.163448,216.3601717,272,1999-09-12,2008-01-13,Turf,Dome,100 South Capitol Avenue,Indianapolis,Indiana,46225,United States,America/Indianapolis,-5,https://en.wikipedia.org/wiki/RCA_Dome,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/IND99.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Rcadomelogo.jpg/200px-Rcadomelogo.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Indianapolis-indiana-rca-dome.jpg/250px-Indianapolis-indiana-rca-dome.jpg,,,Capital Improvement Board,Capital Improvement Board,60127.0,1982.0,1984,2008.0,2008.0,77500000.0,227000000.0,,,HNTB,5.0,2.0,0.0,8.0,-1.029,31.0,7.0,0.0,10.605,1.658,54.0,18.0,0.0,8.528,2.608
LAC,SD,SDG00,False,Qualcomm Stadium,32.7832189,117.1195919,16.18299852,291,1999-09-26,2017-01-01,Grass,Outdoors,"5343 Adobe Falls Road,  Grantville,  Allied Gardens",San Diego,California,92120,United States,America/Los_Angeles,-8,https://en.wikipedia.org/wiki/San_Diego_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/SDG00.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Qualcomm_Stadium.jpg/250px-Qualcomm_Stadium.jpg,,"The Q, The Murph",San Diego State University,San Diego State University,70561.0,1965.0,1967,2020.0,2021.0,27750000.0,254000000.0,,,Frank L. Hope and Associates,3.0,5.0,0.0,1.5,4.461,18.0,20.0,0.0,1.0,0.857,83.0,60.0,0.0,4.343,3.243
LAC,LAC,LAX97,False,StubHub Center,33.8643225,-118.2611153,14.5803592,0,2017-09-17,2019-12-22,Grass,Outdoors,18400 Avalon Boulevard,Carson,California,90746,United States,America/Los_Angeles,-8,https://en.wikipedia.org/wiki/Dignity_Health_Sports_Park,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/LAX97.png,,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/DHSP.svg/220px-DHSP.svg.png,,,Anschutz Entertainment Group,,27000.0,2002.0,2003,,,150000000.0,,,,Rossetti Architects,2.0,5.0,0.0,-5.143,-7.881,11.0,11.0,0.0,3.545,1.374,11.0,11.0,0.0,3.545,1.374
LAR,STL,STL00,False,Edward Jones Dome,38.6329321,-90.1885301,141.9055314,15,1999-09-12,2015-12-17,Turf,Dome,701 Convention Plaza,St. Louis,Missouri,63101,United States,America/Chicago,-6,https://en.wikipedia.org/wiki/The_Dome_at_America%27s_Center,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/STL00.png,https://upload.wikimedia.org/wikipedia/en/thumb/6/68/The_Dome_at_America%27s_Center_logo.png/220px-The_Dome_at_America%27s_Center_logo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Edward_Jones_Dome_KM.jpg/250px-Edward_Jones_Dome_KM.jpg,https://explorestlouis.com/the-dome-at-americas-center/,"The Dome, The BattleDome",St. Louis Regional Sports Authority,St. Louis Convention/Visitors Bureau,67277.0,1992.0,1995,,,280000000.0,560000000.0,"2009, 2010, 2024",,HOK Sport (now Populous),5.0,3.0,0.0,0.375,2.958,18.0,19.0,0.0,-0.243,5.521,71.0,64.0,0.0,1.726,4.187
LAR,LA,LAX99,False,Los Angeles Memorial Coliseum,34.0140427,-118.2878605,41.60136912,270,2016-09-18,2019-12-29,Grass,Outdoors,"Los Angeles Memorial Coliseum,  South Coliseum Drive,  Exposition Park",Los Angeles,California,90037,United States,America/Los_Angeles,-8,https://en.wikipedia.org/wiki/Los_Angeles_Memorial_Coliseum,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/LAX99.png,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/La_memorial_coliseum_logo_100th.png/120px-La_memorial_coliseum_logo_100th.png,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/USC_vs_University_of_Oregon_November_2019.png/250px-USC_vs_University_of_Oregon_November_2019.png,https://www.lacoliseum.com/,"The Coliseum, L.A. Coliseum, The Grand Old Lady","State of California , Los Angeles County , and City of Los Angeles",University of Southern California,77500.0,1921.0,1923,,,,,"1930, 1964, 1977, 1983, 1993, 1995, 2011, 2017, 2019",,Art Moderne,4.0,3.0,0.0,-2.286,-4.704,15.0,14.0,0.0,0.138,0.131,15.0,14.0,0.0,0.138,0.131
MIN,MIN,MIN00,False,Mall of America Field,44.9738295,-93.2580358,260.5481014,30,1999-09-19,2013-12-29,Turf,Dome,900 South 5th Street,Minneapolis,Minnesota,55415,United States,America/Chicago,-6,https://en.wikipedia.org/wiki/Hubert_H._Humphrey_Metrodome,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/MIN00.png,,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Hubert_H_Humphrey_Metrodome.svg/175px-Hubert_H_Humphrey_Metrodome.svg.png,,,Metropolitan Sports Facilities Commission (1982–2012) Minnesota Sports Facilities Authority (2012–2013),Metropolitan Sports Facilities Commission (1982–2012) Minnesota Sports Facilities Authority (2012–2013),64121.0,1979.0,1982,2013.0,2014.0,55000000.0,231000000.0,,,"Fazlur Rahman Khan, Skidmore, Owings & Merrill, Setter, Leach & Lindstrom, Inc.",4.0,3.0,0.0,-1.857,-0.964,22.0,13.0,0.0,4.229,4.181,77.0,40.0,0.0,4.342,4.107
MIN,MIN,MIN98,False,TCF Bank Stadium,44.9765379,-93.2245731,254.2294908,270,2010-12-20,2016-01-10,Turf,Outdoors,"420 Southeast 23rd Avenue,  Prospect Park - East River Road",Minneapolis,Minnesota,55455,United States,America/Chicago,-6,https://en.wikipedia.org/wiki/Huntington_Bank_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/MIN98.png,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Huntington_Bank_Stadium_Logo%2C_2021.jpg/220px-Huntington_Bank_Stadium_Logo%2C_2021.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Huntington_Bank_Stadium_Aerial.jpg/250px-Huntington_Bank_Stadium_Aerial.jpg,https://gophersports.com/sports/2021/6/29/huntington-bank-stadium,The Bank,University of Minnesota,University of Minnesota,50805.0,2006.0,2009,,,303386606.0,431000000.0,,,Populous,6.0,2.0,0.0,5.125,6.077,11.0,5.0,0.0,2.812,3.502,11.0,6.0,0.0,1.118,1.922
NE,NE,BOS99,False,Foxboro Stadium,42.0925795,-71.2674657,94.10408562,356,1999-09-19,2002-01-19,Grass,Outdoors,1 Patriot Place,Foxborough,Massachusetts,2035,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Foxboro_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/BOS99.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Foxborostade.png/250px-Foxborostade.png,,,"Stadium Realty Trust (1970–1981), Stadium Management Corporation (1981–1988), Robert Kraft (1988–2002)",,60292.0,1970.0,1971,2002.0,2002.0,7100000.0,53400000.0,,,"David M. Berg Associates Inc. Finch/Heery, Finch/Heery",6.0,3.0,0.0,6.889,9.853,14.0,10.0,0.0,2.708,4.918,14.0,10.0,0.0,2.708,4.918
NO,NO,NYC00,False,Giants Stadium,40.813507465,-74.074342406,1.646752,346,1999-09-12,2010-01-03,Turf,Outdoors,"MetLife Stadium,  Road D",East Rutherford,New Jersey,7072,United States,America/New_York,-5,https://en.wikipedia.org/wiki/MetLife_Stadium,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Metlife_Stadium_Current_Logo.png/150px-Metlife_Stadium_Current_Logo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Metlife_stadium_%28Aerial_view%29.jpg/300px-Metlife_stadium_%28Aerial_view%29.jpg,https://www.metlifestadium.com/,The Meadowlands,"New Meadowlands Stadium Company, LLC",,82500.0,2007.0,2010,,,1600000000.0,2240000000.0,,,"360 Architecture, Rockwell Group, Bruce Mau Design, Inc.",0.0,1.0,0.0,-17.0,-21.783,0.0,1.0,0.0,-17.0,-21.783,0.0,1.0,0.0,-17.0,-21.783
NO,NO,SAN00,False,Alamo Dome,29.4169713,-98.4788947,200.7578564,0,2005-10-02,2005-12-24,Turf,Dome,100 Montana St,San Antonio,Texas,78203,United States,America/Chicago,-6,https://en.wikipedia.org/wiki/Alamodome,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/SAN00.png,https://upload.wikimedia.org/wikipedia/en/thumb/d/d7/Alamodome_logo.png/220px-Alamodome_logo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Gfp-texas-san-antonio-large-complex_%281%29.jpg/250px-Gfp-texas-san-antonio-large-complex_%281%29.jpg,http://alamodome.com,,City of San Antonio,San Antonio Convention and Sports Facilities Department,64000.0,1990.0,1993,,,186000000.0,392000000.0,"2008, 2009, 2017",2006,HOK Sport,1.0,2.0,0.0,2.667,6.132,1.0,2.0,0.0,2.667,6.132,1.0,2.0,0.0,2.667,6.132
NO,NO,BRG00,False,Tiger Stadium (LSU),30.4120328,-91.1838139,7.648637707,337,2005-10-30,2005-12-18,Grass,Outdoors,"North Stadium Drive at Nicholson Drive,",Baton Rouge,Louisiana,70803,United States,America/Chicago,-6,https://en.wikipedia.org/wiki/Tiger_Stadium_(Louisiana),https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/BRG00.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Tiger_Stadium_%28LSU%29_Champions_Plaza-Mike_the_Tiger.jpg/250px-Tiger_Stadium_%28LSU%29_Champions_Plaza-Mike_the_Tiger.jpg,https://lsusports.net/facilities/tiger-stadium/,Death Valley,,,102321.0,1924.0,1924,,,,,"1994, 2006, 2011, 2014","1931, 1936, 1953, 1978, 1988, 2000, 2014",,0.0,4.0,0.0,-10.5,-5.103,0.0,4.0,0.0,-10.5,-5.103,0.0,4.0,0.0,-10.5,-5.103
NYG,NYG,NYC00,False,Giants Stadium,40.813507465,-74.074342406,1.646752,346,1999-09-12,2010-01-03,Turf,Outdoors,"MetLife Stadium,  Road D",East Rutherford,New Jersey,7072,United States,America/New_York,-5,https://en.wikipedia.org/wiki/MetLife_Stadium,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Metlife_Stadium_Current_Logo.png/150px-Metlife_Stadium_Current_Logo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Metlife_stadium_%28Aerial_view%29.jpg/300px-Metlife_stadium_%28Aerial_view%29.jpg,https://www.metlifestadium.com/,The Meadowlands,"New Meadowlands Stadium Company, LLC",,82500.0,2007.0,2010,,,1600000000.0,2240000000.0,,,"360 Architecture, Rockwell Group, Bruce Mau Design, Inc.",4.0,4.0,0.0,0.75,-1.838,22.0,16.0,0.0,2.921,1.057,47.0,41.0,0.0,1.034,0.262
NYJ,NYJ,NYC00,False,Giants Stadium,40.813507465,-74.074342406,1.646752,346,1999-09-12,2010-01-03,Turf,Outdoors,"MetLife Stadium,  Road D",East Rutherford,New Jersey,7072,United States,America/New_York,-5,https://en.wikipedia.org/wiki/MetLife_Stadium,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Metlife_Stadium_Current_Logo.png/150px-Metlife_Stadium_Current_Logo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Metlife_stadium_%28Aerial_view%29.jpg/300px-Metlife_stadium_%28Aerial_view%29.jpg,https://www.metlifestadium.com/,The Meadowlands,"New Meadowlands Stadium Company, LLC",,82500.0,2007.0,2010,,,1600000000.0,2240000000.0,,,"360 Architecture, Rockwell Group, Bruce Mau Design, Inc.",4.0,4.0,0.0,6.125,7.291,18.0,19.0,0.0,1.892,2.974,47.0,41.0,0.0,1.977,1.833
OAK,OAK,OAK00,False,Ring Central Coliseum,37.7516083,-122.2006038,0.02536833802,325,1999-09-26,2019-12-15,Grass,Outdoors,"Coliseum,  San Leandro Street",Oakland,California,94621,United States,America/Los_Angeles,-8,https://en.wikipedia.org/wiki/Oakland_Coliseum,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/OAK00.png,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/Oakland_Alameda_Coliseum_logo.png/220px-Oakland_Alameda_Coliseum_logo.png,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Oakland_Coliseum_from_above_2024.png/250px-Oakland_Coliseum_from_above_2024.png,https://www.theoaklandarena.com/oakland-alameda-county-coliseum,"The Coliseum, Milk Bowl, The Black Hole, Baseball's Last Dive Bar",Oakland-Alameda County Coliseum Authority ( City of Oakland and Alameda County ),AEG,46847.0,1964.0,1966,,,,,"1995, 1996, 2017",,"Skidmore, Owings & Merrill, HNTB",4.0,3.0,0.0,-2.714,1.019,18.0,16.0,0.0,-1.353,3.066,76.0,87.0,0.0,-1.393,2.103
PHI,PHI,PHI99,False,Veterans Stadium,39.9067652,-75.1706267,5.802220685,8,1999-09-12,2003-01-19,Turf,Outdoors,3501 South Broad Street,Philadelphia,Pennsylvania,19148,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Veterans_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/PHI99.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Veterans_stade.png/250px-Veterans_stade.png,,The Vet,City of Philadelphia,Philadelphia Department of Recreation,61831.0,1967.0,1971,2003.0,2004.0,63000000.0,474000000.0,,,"Hugh Stubbins & Associates, Stonorov & Haws",7.0,1.0,0.0,11.875,4.783,20.0,12.0,0.0,5.312,2.77,20.0,12.0,0.0,5.312,2.77
PIT,PIT,PIT99,False,Three Rivers Stadium,40.4465533,-80.0126137,222.8104575,308,1999-09-26,2000-12-16,Turf,Outdoors,792 W General Robinson St,Pittsburgh,Pennsylvania,15290,United States,America/New_York,-5,https://en.wikipedia.org/wiki/Three_Rivers_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/PIT99.png,https://upload.wikimedia.org/wikipedia/en/thumb/3/30/Three_Rivers_Stadium_logo.gif/125px-Three_Rivers_Stadium_logo.gif,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Three_Rivers_Stadium.jpg/270px-Three_Rivers_Stadium.jpg,,"The Blast Furnace, The House that Clemente Built",Pittsburgh,Pittsburgh Stadium Authority,59000.0,1968.0,1970,2000.0,2001.0,55000000.0,457000000.0,,,Deeter Ritchy SippleMichael Baker Jr.,4.0,4.0,0.0,3.375,3.018,6.0,10.0,0.0,-1.125,-1.316,6.0,10.0,0.0,-1.125,-1.316
SEA,SEA,SEA98,False,Seattle Kingdome,47.5956264,-122.3314355,5.21350879,0,1999-09-12,2000-01-09,Turf,Dome,201 South King Street,Seattle,Washington,98134,United States,America/Los_Angeles,-8,https://en.wikipedia.org/wiki/Kingdome,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/SEA98.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Kingdome_logo_transparent_1981.svg/220px-Kingdome_logo_transparent_1981.svg.png,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Kingdome_across_parking_lot_in_1996.jpg/250px-Kingdome_across_parking_lot_in_1996.jpg,,King County Stadium,King County,King County Department of Stadium Administration,59166.0,1972.0,1976,2000.0,2000.0,67000000.0,359000000.0,,,"Naramore, Skilling &, Praeger",5.0,3.0,0.0,2.0,-0.028,5.0,3.0,0.0,2.0,-0.028,5.0,3.0,0.0,2.0,-0.028
SEA,SEA,SEA99,False,Husky Stadium,47.6502858,-122.3016341,11.63858107,288,2000-09-10,2002-01-06,Turf,Outdoors,3800 Montlake Blvd NE,Seattle,Washington,98105,United States,America/Los_Angeles,-8,https://en.wikipedia.org/wiki/Husky_Stadium,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/SEA99.png,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Husky_Stadium_-_March_19%2C_2016.jpg/250px-Husky_Stadium_-_March_19%2C_2016.jpg,https://gohuskies.com/sports/2013/7/2/208568068.aspx,The Greatest Setting in College Football,,University of Washington,,1920.0,1920,,,,,"1950, 1987, 2013","1936, 1950, 1968, 1987","Bebb and Gould, 360 Architecture",6.0,2.0,0.0,4.125,7.817,9.0,7.0,0.0,0.062,4.163,9.0,7.0,0.0,0.062,4.163
SF,SF,SFO00,False,Candlestick Park,37.7134337,-122.3862306,7.602429889,358,1999-09-19,2013-12-23,Grass,Outdoors,602 Jamestown Avenue,San Francisco,California,94124,United States,America/Los_Angeles,-8,https://en.wikipedia.org/wiki/Candlestick_Park,https://raw.githubusercontent.com/greerrenfl/Stadiums/main/stadiums/Assets/SatelliteImg/SFO00.png,https://upload.wikimedia.org/wikipedia/en/thumb/f/f0/Candlestick_Park_logo.png/200px-Candlestick_Park_logo.png,"https:https://maps.wikimedia.org/img/osm-intl,13,a,a,250x200.png?lang=en&domain=en.wikipedia.org&title=Candlestick_Park&revid=1269074575&groups=_84ede8edf5a20cacee7b5fe9701226418ae3f176",,The Stick,City and County of San Francisco,San Francisco Recreation & Parks Department,43765.0,1958.0,1960,2014.0,2015.0,15000000.0,154000000.0,,,John Bolles & Associates,6.0,2.0,0.0,6.25,1.377,27.0,9.0,1.0,8.459,6.365,69.0,49.0,1.0,2.992,4.638
